DATE;OTERMP03MO;OTERMP06MO;OTERMP01YR;OTERMP02YR;OTERMP03YR;OTERMP05YR;OTERMP07YR;OTERMP10YR
7.11.2016;-0.001804195;-0.003191514;-0.00537676;-0.00804116;-0.00927555;-0.00975404;-0.00932759;-0.00851522
7.12.2016;-0.001762868;-0.003176664;-0.005378;-0.0079781;-0.00909253;-0.009324651;-0.00872238;-0.00777802
7.13.2016;-0.001756195;-0.003152297;-0.00533604;-0.00794716;-0.00910819;-0.00946312;-0.008974229;-0.00815159
7.14.2016;-0.00169099;-0.003109392;-0.00531266;-0.00790288;-0.00900319;-0.00922103;-0.00863247;-0.00772032
7.15.2016;-0.001694056;-0.003105647;-0.00528263;-0.00779404;-0.00881028;-0.00889871;-0.00823433;-0.00728149
7.18.2016;-0.001645444;-0.003013935;-0.00513644;-0.00761884;-0.00865112;-0.008791521;-0.00815685;-0.00721286
7.19.2016;-0.001685566;-0.003011358;-0.00507866;-0.00753208;-0.00859438;-0.00883725;-0.00828349;-0.00738196
7.20.2016;-0.001726135;-0.003059353;-0.00512929;-0.0075549;-0.0085779;-0.00875498;-0.008150689;-0.00718362
7.21.2016;-0.001650008;-0.00296992;-0.00502887;-0.00746918;-0.00851402;-0.00869537;-0.00805722;-0.00703436
7.22.2016;-0.00168328;-0.002999423;-0.00505265;-0.00748385;-0.00852913;-0.008742211;-0.00815511;-0.00721198
7.25.2016;-0.001765395;-0.00307198;-0.00511459;-0.00755421;-0.00863385;-0.00892261;-0.00836923;-0.00738905
7.26.2016;-0.001663401;-0.003001737;-0.00508113;-0.00752189;-0.00855647;-0.0087521;-0.00816528;-0.00721929
7.27.2016;-0.001765145;-0.003071436;-0.00512393;-0.00760183;-0.00871859;-0.00905963;-0.00853723;-0.00759502
7.28.2016;-0.001750094;-0.003077003;-0.00515617;-0.007652;-0.0087618;-0.00906487;-0.00850933;-0.00754245
7.29.2016;-0.001660175;-0.003006918;-0.00512319;-0.00767886;-0.00882711;-0.00918032;-0.00867568;-0.00779958
8.1.2016;-0.00172641;-0.003058589;-0.00515022;-0.00766758;-0.00878402;-0.00906601;-0.0084734;-0.007468921
8.2.2016;-0.001688871;-0.003023962;-0.0051116;-0.0075973;-0.00866874;-0.00885655;-0.008188481;-0.00710783
8.3.2016;-0.001689556;-0.003002233;-0.00506734;-0.00755814;-0.00865928;-0.00890226;-0.00825439;-0.00716265
8.4.2016;-0.00166966;-0.002962233;-0.00500879;-0.00751393;-0.00865404;-0.00896938;-0.00837029;-0.007326869
